RTT,From,Req,Bytes,TTL
45.4,10.0.0.10,637,64,64
43.8,10.0.0.10,638,64,64
43.5,10.0.0.10,639,64,64
41.8,10.0.0.10,640,64,64
42.8,10.0.0.10,641,64,64
43.6,10.0.0.10,642,64,64
45.6,10.0.0.10,643,64,64
45.0,10.0.0.10,644,64,64
45.0,10.0.0.10,645,64,64
44.1,10.0.0.10,646,64,64
43.0,10.0.0.10,647,64,64
42.6,10.0.0.10,648,64,64
43.5,10.0.0.10,649,64,64
43.5,10.0.0.10,650,64,64
42.5,10.0.0.10,651,64,64
42.2,10.0.0.10,652,64,64
43.8,10.0.0.10,653,64,64
43.8,10.0.0.10,654,64,64
44.2,10.0.0.10,655,64,64
42.2,10.0.0.10,656,64,64
42.4,10.0.0.10,657,64,64
42.2,10.0.0.10,658,64,64
41.6,10.0.0.10,659,64,64
43.4,10.0.0.10,660,64,64
43.2,10.0.0.10,661,64,64
44.1,10.0.0.10,662,64,64
44.4,10.0.0.10,663,64,64
44.2,10.0.0.10,664,64,64
43.8,10.0.0.10,665,64,64
43.5,10.0.0.10,666,64,64
42.8,10.0.0.10,667,64,64
43.1,10.0.0.10,668,64,64
43.0,10.0.0.10,669,64,64
42.3,10.0.0.10,670,64,64
43.3,10.0.0.10,671,64,64
41.8,10.0.0.10,672,64,64
42.8,10.0.0.10,673,64,64
42.2,10.0.0.10,674,64,64
44.6,10.0.0.10,675,64,64
45.8,10.0.0.10,676,64,64
45.1,10.0.0.10,677,64,64
44.6,10.0.0.10,678,64,64
44.0,10.0.0.10,679,64,64
44.4,10.0.0.10,680,64,64
43.3,10.0.0.10,681,64,64
43.7,10.0.0.10,682,64,64
43.6,10.0.0.10,683,64,64
44.5,10.0.0.10,684,64,64
44.7,10.0.0.10,685,64,64
44.8,10.0.0.10,686,64,64
44.7,10.0.0.10,687,64,64
44.3,10.0.0.10,688,64,64
43.0,10.0.0.10,689,64,64
44.0,10.0.0.10,690,64,64
44.4,10.0.0.10,691,64,64
45.3,10.0.0.10,692,64,64
44.1,10.0.0.10,693,64,64
43.9,10.0.0.10,694,64,64
43.1,10.0.0.10,695,64,64
43.2,10.0.0.10,696,64,64
42.9,10.0.0.10,697,64,64
43.9,10.0.0.10,698,64,64
43.6,10.0.0.10,699,64,64
43.9,10.0.0.10,700,64,64
44.1,10.0.0.10,701,64,64
43.4,10.0.0.10,702,64,64
42.5,10.0.0.10,703,64,64
41.8,10.0.0.10,704,64,64
42.9,10.0.0.10,705,64,64
43.4,10.0.0.10,706,64,64
43.0,10.0.0.10,707,64,64
43.7,10.0.0.10,708,64,64
44.4,10.0.0.10,709,64,64
44.3,10.0.0.10,710,64,64
45.2,10.0.0.10,711,64,64
43.1,10.0.0.10,712,64,64
43.4,10.0.0.10,713,64,64
44.4,10.0.0.10,714,64,64
43.3,10.0.0.10,715,64,64
44.1,10.0.0.10,716,64,64
44.7,10.0.0.10,717,64,64
45.7,10.0.0.10,718,64,64
44.4,10.0.0.10,719,64,64
44.0,10.0.0.10,720,64,64
44.2,10.0.0.10,721,64,64
44.2,10.0.0.10,722,64,64
42.8,10.0.0.10,723,64,64
42.1,10.0.0.10,724,64,64
41.0,10.0.0.10,725,64,64
43.2,10.0.0.10,726,64,64
42.2,10.0.0.10,727,64,64
42.1,10.0.0.10,728,64,64
44.3,10.0.0.10,729,64,64
42.8,10.0.0.10,730,64,64
42.8,10.0.0.10,731,64,64
43.8,10.0.0.10,732,64,64
43.0,10.0.0.10,733,64,64
41.0,10.0.0.10,734,64,64
41.4,10.0.0.10,735,64,64
42.0,10.0.0.10,736,64,64
42.7,10.0.0.10,737,64,64
42.5,10.0.0.10,738,64,64
43.4,10.0.0.10,739,64,64
44.4,10.0.0.10,740,64,64
42.9,10.0.0.10,741,64,64
44.0,10.0.0.10,742,64,64
43.4,10.0.0.10,743,64,64
45.5,10.0.0.10,744,64,64
44.6,10.0.0.10,745,64,64
43.4,10.0.0.10,746,64,64
41.4,10.0.0.10,747,64,64
43.5,10.0.0.10,748,64,64
43.3,10.0.0.10,749,64,64
44.8,10.0.0.10,750,64,64
43.9,10.0.0.10,751,64,64
43.2,10.0.0.10,752,64,64
44.7,10.0.0.10,753,64,64
44.0,10.0.0.10,754,64,64
44.5,10.0.0.10,755,64,64
44.3,10.0.0.10,756,64,64
45.2,10.0.0.10,757,64,64
44.7,10.0.0.10,758,64,64
45.1,10.0.0.10,759,64,64
44.9,10.0.0.10,760,64,64
44.1,10.0.0.10,761,64,64
42.7,10.0.0.10,762,64,64
44.0,10.0.0.10,763,64,64
44.2,10.0.0.10,764,64,64
44.3,10.0.0.10,765,64,64
43.4,10.0.0.10,766,64,64
43.8,10.0.0.10,767,64,64
43.6,10.0.0.10,768,64,64
44.8,10.0.0.10,769,64,64
44.5,10.0.0.10,770,64,64
45.6,10.0.0.10,771,64,64
45.5,10.0.0.10,772,64,64
45.3,10.0.0.10,773,64,64
45.0,10.0.0.10,774,64,64
44.9,10.0.0.10,775,64,64
43.1,10.0.0.10,776,64,64
42.3,10.0.0.10,777,64,64
44.2,10.0.0.10,778,64,64
41.1,10.0.0.10,779,64,64
41.0,10.0.0.10,780,64,64
43.8,10.0.0.10,781,64,64
